names,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_cases,total_tests,population
USA,"107,583,087",,"1,170,864                                ",,"105,699,264",,"712,959",709,"1,181,214,584","334,805,269 "
India,"44,996,112",,"531,918                                ",,"44,462,655",,"1,539",N/A,"930,797,975","1,406,631,776 "
France,"40,138,560",,"167,642                                ",,"39,970,918",,0,869,"271,490,188","65,584,518 "
Germany,"38,428,685",,"174,352                                ",,"38,240,600",,"13,733",N/A,"122,332,384","83,883,596 "
Brazil,"37,739,057",,"704,897                                ",,"36,249,161",,"784,999",N/A,"63,776,166","215,353,593 "
Japan,"33,803,572",,"74,694                                ",,N/A,N/A,N/A,83,"100,414,883","125,584,838 "
S. Korea,"33,554,474",,"35,411                                ",,"32,830,939","+41,590","688,124",185,"15,804,065","51,329,899 "
Italy,"25,918,253",,"191,053                                ",,"25,612,716",,"114,484",28,"274,396,076","60,262,770 "
UK,"24,651,375",,"228,429                                ",,"24,417,149",+473,"5,797",N/A,"522,526,476","68,497,907 "
Russia,"22,980,206",,"399,897                                ",,"22,434,058",,"146,251",N/A,"273,400,000","145,805,947 "
Turkey,"17,232,066",,"102,174                                ",,N/A,N/A,N/A,,"162,743,369","85,561,976 "
Spain,"13,914,811",,"121,760                                ",,"13,762,417",,"30,634",231,"471,036,328","46,719,142 "
Australia,"11,736,523",,"22,362                                ",,"11,703,798",,"10,363",31,"81,916,639","26,068,792 "
Vietnam,"11,622,092",,"43,206                                ",,"10,640,372",,"938,514",1,"85,826,548","98,953,541 "
Taiwan,"10,241,506",,"19,005                                ",,"10,222,501",+1,0,,"30,742,304","23,888,595 "
Argentina,"10,057,945",,"130,527                                ",,"9,927,418",,0,363,"35,716,069","46,010,234 "
Netherlands,"8,610,372",,"22,992                                ",,"8,587,380",,0,53,"25,984,435","17,211,447 "
Mexico,"7,633,355",,"334,336                                ",,"6,885,378",,"413,641",N/A,"20,013,810","131,562,772 "
Iran,"7,613,171",,"146,318                                ",,"7,373,518",,"93,335",16,"56,934,517","86,022,837 "
Indonesia,"6,813,095",,"161,916                                ",,"6,646,293",,"4,886",N/A,"114,158,919","279,134,505 "
